PlayerName,G,AB,H,2B,3B,HR,R,RBI,BB,SO,SB,AVG,K%,ADP,id
Cole Tucker,10,36,8,2,0,1,4,3,3,10,1,0.229,0.264,999,17326
Narciso Crook,5,11,2,0,0,0,1,1,1,4,0,0.219,0.327,999,17473
Cade Marlowe,4,15,3,1,0,0,2,1,1,5,0,0.209,0.323,999,sa1170288
Erick Mejia,3,9,2,0,0,0,1,1,1,2,0,0.216,0.231,999,15817
Ryan Vilade,7,25,6,1,0,0,3,2,2,5,1,0.237,0.194,999,22165
Joey Wiemer,19,68,15,3,0,2,8,8,5,22,2,0.218,0.296,999,sa3014531
Lawrence Butler,4,12,2,1,0,0,1,1,1,5,0,0.205,0.367,999,sa3006873
Daz Cameron,10,30,6,1,0,1,3,3,2,10,1,0.217,0.306,747.81,18353
Ronald Torreyes,2,5,1,0,0,0,0,0,0,1,0,0.229,0.128,999,11400
Ben DeLuzio,15,20,5,1,0,0,2,2,1,6,1,0.23,0.267,999,19644
Luis Barrera,7,17,4,1,0,0,2,2,1,4,0,0.232,0.229,999,19615
Daniel Palka,2,5,1,0,0,0,1,1,0,2,0,0.212,0.271,999,14897
Henry Ramos,3,10,3,0,0,0,1,1,1,2,0,0.242,0.211,999,11481
Adeiny Hechavarria,3,8,2,0,0,0,1,1,0,2,0,0.243,0.195,999,10459
Matt Mervis,66,251,59,13,1,8,28,32,18,64,1,0.235,0.232,999,sa3015051
Pedro Leon,9,24,5,1,0,1,3,2,2,9,1,0.198,0.339,999,sa3014838
Jaylin Davis,7,16,3,1,0,0,2,2,1,6,0,0.204,0.337,999,19552
Eric Sogard,2,5,1,0,0,0,1,0,0,1,0,0.229,0.164,999,7927
Jared Young,4,11,2,0,0,0,1,1,1,3,0,0.224,0.261,999,20404
Parker Meadows,22,77,17,3,1,2,8,7,6,20,1,0.218,0.237,999,sa3007943
Dominic Fletcher,9,27,7,1,0,0,3,3,2,7,0,0.241,0.24,999,sa1115778
Bligh Madris,8,29,7,1,0,1,3,3,2,8,0,0.226,0.247,999,20054
Estevan Florial,11,33,7,1,0,1,4,3,3,13,1,0.204,0.349,748.08,19151
Israel Pineda,11,36,8,2,0,1,4,4,2,11,0,0.223,0.269,999,22906
Mark Vientos,16,46,10,2,0,2,5,6,4,15,0,0.225,0.306,737.8,22184
Wynton Bernard,9,27,6,1,0,0,3,2,1,6,1,0.228,0.215,749.85,13408
Mark Contreras,13,27,5,1,0,1,3,3,2,10,1,0.2,0.343,999,20122
Luke Raley,31,101,22,4,1,3,12,12,7,36,1,0.216,0.314,734.67,19354
Matt Adams,3,11,2,0,0,0,1,1,1,3,0,0.21,0.29,999,9393
Aristides Aquino,21,60,12,3,0,3,7,8,5,23,1,0.206,0.345,750.87,15482
Tommy La Stella,45,156,36,7,0,3,16,17,13,26,0,0.233,0.15,749.04,12371
Charlie Culberson,26,71,16,3,0,1,8,6,4,20,2,0.226,0.258,999,3298
Ryan Aguilar,5,19,4,1,0,0,2,2,2,7,0,0.192,0.345,999,19967
Jerar Encarnacion,7,25,6,1,0,1,3,3,2,9,0,0.223,0.34,749.76,21871
Terrance Gore,18,21,4,1,0,0,3,1,2,7,2,0.199,0.309,999,13658
Jake Lamb,13,35,7,1,0,1,4,4,4,12,0,0.207,0.306,999,13329
Alfonso Rivas,12,34,8,1,0,0,4,3,3,10,0,0.228,0.269,750.3,21560
Matt Wallner,12,40,8,2,0,1,5,4,4,16,0,0.207,0.361,745.53,26466
Darick Hall,100,355,79,18,1,15,43,50,27,109,2,0.222,0.279,517.03,19717
Monte Harrison,13,22,4,1,0,1,3,2,2,10,1,0.195,0.401,999,17216
Ryan O'Hearn,20,63,14,3,0,2,7,8,5,18,0,0.23,0.256,748.38,16442
Kevin Cron,4,14,3,1,0,0,1,2,1,5,0,0.191,0.353,740.25,16211
Kyle McCann,5,14,3,1,0,0,1,1,1,6,0,0.176,0.391,999,sa1159677
Mike Ford,13,33,6,1,0,1,3,4,4,9,0,0.196,0.24,999,15585
Kole Calhoun,31,105,22,5,0,3,12,13,9,33,1,0.214,0.282,741.26,11200
Robinson CanÃ³,15,51,12,3,0,1,5,6,3,11,0,0.23,0.211,749.63,3269
Eddie Rosario,104,376,89,18,2,10,45,43,24,83,7,0.238,0.206,448.74,12155
Alec Burleson,26,92,23,4,0,2,10,11,5,19,0,0.247,0.192,652.63,27615
Franchy Cordero,17,56,12,3,0,2,7,6,5,21,1,0.221,0.337,713.67,14567
Colin Moran,31,87,19,3,0,2,9,10,8,26,0,0.217,0.266,750.95,16909
Dermis Garcia,11,37,7,2,0,1,4,4,3,16,0,0.194,0.377,749.99,20926
